ID,Fwy,Dir,District,County,City,State_PM,Abs_PM,Latitude,Longitude,Length,Type,Lanes
771914,405,S,7,37,11530.0,9.09,32.861999999999995,33.825703000000004,-118.23317800000001,0.42,ML,5
771915,405,N,7,37,11530.0,9.09,32.861999999999995,33.825932,-118.23315500000001,0.39,ML,5
771925,405,S,7,37,11530.0,10.03,33.802,33.826192999999996,-118.24972,0.51,ML,4
771938,405,S,7,37,11530.0,10.9,34.672,33.835431,-118.259732,0.355,ML,4
771939,405,N,7,37,11530.0,10.9,34.672,33.835595,-118.259571,0.33,ML,4
771954,405,S,7,37,44000.0,24.9,48.672,33.976541,-118.387273,0.58,ML,5
771969,405,N,7,37,44000.0,25.1,48.872,33.978134999999995,-118.390097,0.58,ML,4
771981,405,S,7,37,44000.0,47.8,71.572,34.279568,-118.46969399999999,0.345,ML,3
771997,405,S,7,37,44000.0,47.61,71.382,34.276796999999995,-118.470607,0.795,ML,4
772011,405,N,7,37,44000.0,47.94,71.712,34.281744,-118.468905,1.05,ML,3
772024,405,N,7,37,44000.0,48.3,72.072,34.287473,-118.467596,0.523,ML,3
772025,405,S,7,37,44000.0,48.3,72.072,34.287420000000004,-118.46781399999999,0.593,ML,4
772055,5,S,7,37,69088.0,R52.4,168.747,34.407375,-118.576054,0.545,ML,4
772092,118,W,7,111,,R32.48,33.411,34.268605,-118.63496599999999,1.075,ML,3
772107,118,E,7,111,,R31.32,32.251,34.270739,-118.652796,0.855,ML,4
772140,101,S,7,37,44000.0,17.59,18.907,34.164781,-118.47428799999999,0.43200000000000005,ML,6
772151,101,S,7,37,44000.0,19.05,20.382,34.168861,-118.49854599999999,0.65,ML,5
772167,101,S,7,37,44000.0,18.1,19.432000000000002,34.165169,-118.483356,0.462,ML,6
772168,101,N,7,37,44000.0,18.1,19.459,34.165406,-118.483271,0.721,ML,6
772178,101,N,7,37,44000.0,19.4,20.759,34.171202,-118.503926,0.375,ML,5
772193,101,S,7,37,394.0,34.9,36.232,34.145632,-118.75887900000001,0.465,ML,4
772208,101,S,7,37,44000.0,27.4,28.732,34.159019,-118.638271,0.17,ML,4
772340,101,N,7,37,394.0,35.2,36.559,34.14652,-118.764022,0.65,ML,4
772354,101,N,7,37,44000.0,27.6,28.959,34.158019,-118.64156299999999,0.415,ML,4
772355,101,S,7,37,44000.0,27.6,28.932,34.157863,-118.64146000000001,0.36,ML,4
772437,405,N,7,37,44000.0,28.1,51.872,34.013859000000004,-118.41964499999999,0.355,ML,6
772438,405,S,7,37,44000.0,28.1,51.872,34.01375,-118.419839,0.36,ML,6
772454,405,S,7,37,44000.0,28.54,52.312,34.019096999999995,-118.424066,0.32,ML,5
772455,405,N,7,37,44000.0,28.54,52.312,34.019206,-118.423854,0.32,ML,5
772487,118,E,7,37,,R.43,33.961,34.273908,-118.62773200000001,0.696,ML,4
772488,118,W,7,37,,R.43,33.961,34.274157,-118.627753,0.696,ML,4
772501,110,N,7,37,44000.0,23.2,23.13,34.057029,-118.254921,1.075,ML,5
772513,110,N,7,37,44000.0,24.7,24.63,34.070398,-118.235253,0.31,ML,4
772527,405,S,7,37,44000.0,28.52,52.292,34.018854,-118.423874,0.22,ML,5
772564,101,S,7,37,90310.0,31.25,32.582,34.14622,-118.69988799999999,0.315,ML,4
772582,101,S,7,37,44000.0,26.6,27.932,34.163717,-118.62555,0.795,ML,4
772583,101,N,7,37,44000.0,26.6,27.959,34.163866,-118.62565500000001,0.705,ML,4
772596,101,N,7,37,44000.0,19.8,21.159000000000002,34.171254,-118.510916,0.47,ML,5
772597,101,S,7,37,44000.0,19.8,21.131999999999998,34.171083,-118.510919,0.55,ML,5
772609,101,N,7,37,44000.0,22.7,24.059,34.173613,-118.56113700000002,0.52,ML,5
772610,101,S,7,37,44000.0,22.7,24.031999999999996,34.173421000000005,-118.561073,0.575,ML,5
772689,710,N,7,37,43000.0,6.8,1.84,33.788736,-118.20766299999998,0.45,ML,4
772701,710,S,7,37,43000.0,6.8,1.84,33.788737,-118.20789599999999,0.605,ML,5
772711,710,S,7,37,43000.0,6.8,1.84,33.788737,-118.20789599999999,0.45,ML,4
772857,210,E,7,37,36826.0,R37.1,37.389,34.130657,-117.946351,0.45,ML,5
772858,210,W,7,37,36826.0,R37.1,37.389,34.130886,-117.94623700000001,0.45,ML,5
772872,210,E,7,37,36826.0,R37.5,37.789,34.128708,-117.939757,0.455,ML,4
772873,210,W,7,37,36826.0,R37.5,37.789,34.129017,-117.939742,0.34,ML,5
772887,210,E,7,37,36826.0,R38.5,38.789,34.128935,-117.92311200000002,0.52,ML,4
772888,210,W,7,37,36826.0,R38.5,38.789,34.129156,-117.923041,0.475,ML,4
